Date,Species,sex,Standard.Length,Fork.Length,Total.Length,Condition
6/27/2000,Southern stingray,F,76,,,G
6/27/2000,Nurse shark,F,99,,145,E
6/27/2000,Nurse shark,?,,,200,
6/27/2000,Nurse shark,F,100,,144,E
6/27/2000,Nurse shark,M,98,,135,E
6/27/2000,Nurse shark,F,116,,174,E
6/27/2000,N.brevirostris,F,101,,130,G
6/27/2000,N.brevirostris,M,132,,173,F
6/27/2000,C.latus,,,,50,
6/27/2000,C.latus,,,,50,
6/27/2000,C.latus,,,,60,
6/28/2000,Caribbean reef shark,M,100,,138,F
6/28/2000,Caribbean reef shark,F,,,200,
6/28/2000,Caribbean reef shark,F,81,,110,F
6/28/2000,Caribbean reef shark,F,84,,113,F
6/28/2000,Caribbean reef shark,M,81,,109,F
6/28/2000,Caribbean reef shark,M,98,,136,F
6/28/2000,Southern stingray,F,80,,,G
6/28/2000,Southern stingray,F,84,,,G
6/28/2000,Nurse shark,F,114,,161,E
6/28/2000,Nurse shark,M,169,,231,E
6/28/2000,Nurse shark,F,84,,121,E
6/28/2000,Nurse shark,M,161,,212,E
6/28/2000,Nurse shark,F,100,,145,E
6/29/2000,Nurse shark,M,145,,208,E
6/28/2000,Nurse shark,M,147,,210,E
6/28/2000,Caribbean sharpnose shark,F,83,,104,E
6/28/2000,C.latus,,,,50,
6/28/2000,C.latus,,,,55,
6/28/2000,Elops saurus,,,,60,
6/29/2000,Caribbean reef shark,F,59,,81,P
6/29/2000,Nurse shark,F,108,,147,E
6/29/2000,Epinephalus guttatus,,,,30,G
6/29/2000,Epinephalus guttatus,,,,35,G
6/29/2000,Epinephalus guttatus,,,,40,G
6/29/2000,Gymnothorax funebris,,,,120,E
6/29/2000,Gymnothorax moringa,,,,60,D
6/29/2000,Gymnothorax moringa,,,,60,D
6/29/2000,Gymnothorax moringa,,,,60,D
6/29/2000,Gymnothorax moringa,,,,60,D
6/29/2000,Mycteroperca bonaci,,,,100,P
6/30/2000,Southern stingray,F,100,,,E
6/30/2000,Southern stingray,,80,,,
6/30/2000,Nurse shark,F,85,,120,G
6/30/2000,Nurse shark,M,142,,205,E
6/30/2000,Nurse shark,F,101,,147,E
6/30/2000,Nurse shark,F,105,,131,F
6/30/2000,Nurse shark,F,150,,207,E
6/30/2000,Nurse shark,M,128,,191,E
6/30/2000,Nurse shark,M,124,,168,E
6/30/2000,Nurse shark,F,111,,154,E
6/30/2000,Nurse shark,M,127,,164,E
6/30/2000,Nurse shark,F,141,,210,E
6/30/2000,Nurse shark,F,100,,140,G
6/30/2000,Nurse shark,,,,140,
6/30/2000,C.latus,,,,50,D
6/30/2000,C.latus,,,,50,
6/30/2000,Nurse shark,F,78,,106,E
7/1/2000,Caribbean reef shark,F,85,,112,G
7/1/2000,Epinephalus guttatus,,,,40,
7/1/2000,Gymnothorax moringa,,,,60,D
7/1/2000,S. barracuda,,,,90,
7/1/2000,S. barracuda,,,,110,
7/1/2000,C.falciformis,F,112,,154,D
7/1/2000,Caribbean reef shark,F,141,,187,G
7/1/2000,Gymnothorax moringa,,,,60,D
7/1/2000,Gymnothorax moringa,,,,60,D
7/1/2000,L.analis,,,,50,
7/1/2000,Lutjanus apodus,,,,40,
7/1/2000,Mycteroperca bonaci,,,,100,
7/2/2000,Nurse shark,M,127,,180,E
7/2/2000,Epinephalus striatis,,,,40,
7/4/2000,Caribbean reef shark,F,80,,108,G
7/4/2000,Nurse shark,M,115,,165,E
7/4/2000,Mycteroperca bonaci,,,,100,
7/4/2000,S. barracuda,,,,120,
7/4/2000,Caribbean reef shark,M,76,,102,G
7/4/2000,Caribbean reef shark,M,95,,130,E
7/4/2000,Nurse shark,M,147,,207,E
7/4/2000,Nurse shark,M,135,,176,E
7/4/2000,Nurse shark,M,150,,209,E
7/4/2000,Nurse shark,F,115,,165,P
7/4/2000,Nurse shark,F,96,,132,E
7/4/2000,Nurse shark,M,,,140,E
7/4/2000,Nurse shark,F,126,,180,E
7/4/2000,Epinephalus guttatus,,,,35,
7/4/2000,Epinephalus guttatus,,,,25,
7/4/2000,Epinephalus guttatus,,,,40,
7/4/2000,Epinephalus striatis,,,,40,
7/4/2000,L.analis,,,,40,
7/4/2000,L.analis,,,,40,
7/4/2000,L.analis,,,,30,
7/6/2000,Southern stingray,F,110,,,G
7/6/2000,Nurse shark,F,130,,183,E
7/6/2000,Nurse shark,M,155,,215,E
7/6/2000,Nurse shark,M,165,,231,E
7/6/2000,Caribbean sharpnose shark,F,83,,106,E
7/6/2000,S. barracuda,,,,120,
5/18/2001,Caribbean reef shark,F,85,98.4,117.4,G
5/18/2001,Nurse shark,M,156,,222,E
5/18/2001,Caribbean reef shark,F,77,86,105,P
5/18/2001,Nurse shark,M,87.2,,122.8,G
5/18/2001,Caribbean reef shark,M,75,83.4,103,G
5/18/2001,Nurse shark,M,100,,152,E
5/18/2001,Nurse shark,F,,,ca. 140,G
5/18/2001,Nurse shark,F,107.7,,167.2,E
5/18/2001,Nurse shark,M,96.2,,141,E
5/18/2001,Nurse shark,F,105,,156,E
5/18/2001,Nurse shark,M,111,,161.8,E
5/18/2001,Nurse shark,M,114,,176,E
5/18/2001,Nurse shark,M,98.2,,142.8,E
5/18/2001,Nurse shark,M,102,,148.2,E
5/18/2001,Nurse shark,M,155.4,,225,E
5/19/2001,Nurse shark,F,167,,237,E
5/19/2001,Nurse shark,F,94,,153,E
5/19/2001,L.analis,,,,,E
5/20/2001,Caribbean reef shark,M,70,79,99.2,D
5/20/2001,Caribbean reef shark,M,87,92.6,117.3,F
5/20/2001,Nurse shark,M,154.2,,205.2,E
5/20/2001,Nurse shark,M,,,ca. 120,E
5/20/2001,L.analis,,,,,
5/21/2001,C.falciformis,M,109.2,,146.6,E
5/21/2001,Caribbean reef shark,F,166.4,181,217,G
5/21/2001,Caribbean reef shark,F,148,164.8,204.4,E
5/21/2001,Caribbean reef shark,F,150,170.2,212,E
5/21/2001,Caribbean reef shark,,,,ca.190-200,E
5/21/2001,Caribbean reef shark,F,88,97,122,P
5/22/2001,Caribbean reef shark,F,151.8,167,205,E
5/22/2001,S. barracuda,,,,,
5/23/2001,C.galapagensis,F,115.2,127,153.2,F
5/23/2001,Caribbean reef shark,F,118.4,130.4,161,E
5/23/2001,Caribbean reef shark,M,71.2,79,97.4,E
5/23/2001,Caribbean reef shark,M,85.8,95.4,118.4,E
5/24/2001,Caribbean reef shark,M,125.2,,163.2,E
5/24/2001,Caribbean reef shark,M,129.4,143.8,177,E
5/24/2001,Caribbean reef shark,M,140,157.6,187.4,E
5/24/2001,Caribbean reef shark,F,100.6,112,138,D
5/24/2001,C.latus,,,,,
5/24/2001,O.chrysurus,,,,,
5/24/2001,S. barracuda,,,,,
5/25/2001,Nurse shark,M,151.4,,219.6,E
5/25/2001,Nurse shark,F,101,,145,E
5/25/2001,Nurse shark,M,123,,174.2,E
5/25/2001,Nurse shark,M,149.8,,221,E
5/25/2001,Nurse shark,M,,,ca. 190,E
5/25/2001,Nurse shark,F,147.2,,220.6,E
5/25/2001,Nurse shark,M,124.8,,180.4,E
5/25/2001,Nurse shark,F,,,ca. 205,E
5/25/2001,L. analis,,,,,
5/25/2001,L. analis,,,,,
5/25/2001,L.analis,,,,,
5/25/2001,S. barracuda,,,,,
5/25/2001,Caribbean reef shark,M,88,100.4,123.2,D
5/25/2001,Caribbean reef shark,F,72.9,82.2,104.7,E
5/25/2001,Caribbean sharpnose shark,F,75,81.8,98.8,D
5/25/2001,Caribbean sharpnose shark,F,64,70.4,84,D
5/26/2001,Southern stingray,F,,,,E
5/26/2001,Southern stingray,F,,,,E
5/26/2001,Nurse shark,F,110.4,,156.2,E
5/26/2001,Nurse shark,M,98.8,,141.8,E
5/26/2001,Nurse shark,F,102.2,,156,E
5/26/2001,Nurse shark,M,113,,166,E
5/26/2001,Nurse shark,F,110.8,,163,E
5/26/2001,Nurse shark,F,121,,167,E
5/26/2001,Nurse shark,unk,,,ca. 130,E
5/26/2001,Nurse shark,F,147.2,,210,E
5/26/2001,C.latus,,,,,
5/26/2001,C.latus,,,,,
5/28/2001,Nurse shark,M,129,,186.4,E
5/28/2001,Nurse shark,F,137.2,,195.2,E
5/28/2001,Nurse shark,F,162.2,,222.6,E
5/28/2001,Nurse shark,M,91.4,,133.2,E
5/28/2001,Nurse shark,F,123.8,,182,E
5/28/2001,L.analis,,,,,
5/29/2001,Nurse shark,M,104,,149,E
5/29/2001,Nurse shark,F,170.7,,236,E
5/29/2001,Nurse shark,M,125.6,,188.2,E
5/29/2001,S. barracuda,,,,,
5/29/2001,S. barracuda,,,,,
5/29/2001,S. barracuda,,,,,
5/29/2001,Caribbean reef shark,M,97.8,103.6,131,E
5/29/2001,Southern stingray,F,,,,F
5/29/2001,Nurse shark,M,113,,162.2,E
5/26/2002,Southern stingray,F,71.8,,,E
5/26/2002,Nurse shark,NR,,convert from feet,,E
5/26/2002,Nurse shark,F,,convert from feet,,E
5/26/2002,Nurse shark,F,,convert from feet,,E
5/26/2002,Nurse shark,F,,convert from feet,,E
5/26/2002,Nurse shark,F,,convert from feet,,E
5/26/2002,L.analis,,,,,D
5/26/2002,L.analis,,,,,D
5/26/2002,Caribbean reef shark,F,89,99.5,125.2,E
5/26/2002,Caribbean reef shark,M,62.1,67.9,90.6,G
5/26/2002,Caribbean reef shark,F,102.5,113,141.1,F
5/26/2002,Caribbean reef shark,M,90.2,99.4,123.3,E
5/26/2002,Caribbean reef shark,M,143,159,193.6,D
5/26/2002,Caribbean reef shark,F,172,193,234.1,E
5/26/2002,Caribbean reef shark,M,64.2,70.9,90.8,E
5/26/2002,Nurse shark,F,104,,142,E
5/26/2002,Nurse shark,F,121,,175,E
5/26/2002,Nurse shark,M,152.5,,225.4,E
5/26/2002,L.analis,,,,,E
5/27/2002,Caribbean reef shark,M,74.8,82,101.9,E
5/27/2002,Caribbean reef shark,F,66,72.5,91,E
5/27/2002,Caribbean reef shark,M,146,158,194,P
5/27/2002,L.analis,,,,,E
5/27/2002,L.analis,,,,,E
